                                                   Percentage of Fast-Track Receipts,,,,,,,,,,,,,,,,,
                                                                                For,,,,,,,,,,,,,,,,,
"                     Fiscal Year 2010 (September 26, 2009 through September 24, 2010)1",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
State2,State Abbreviation,Region,Total Fast-Track Receipts3,Total DDS Electronic Receipts4,% of Fast-Track Receipts,,,,,,,,,,,,
Alabama,AL,Atlanta,"2,508","74,232",3.4%,,,,,,,,,,,,
Alaska,AK,Seattle,266,"4,665",5.7%,,,,,,,,,,,,
Arizona,AZ,San Francisco,"1,928","45,918",4.2%,,,,,,,,,,,,
Arkansas5,AR,Dallas,"1,519","49,094",3.1%,,,,,,,,,,,,
California,CA,San Francisco,"11,672","285,323",4.1%,,,,,,,,,,,,
Colorado,CO,Denver,"1,901","33,709",5.6%,,,,,,,,,,,,
Connecticut,CT,Boston,"1,222","26,329",4.6%,,,,,,,,,,,,
Delaware,DE,Philadelphia,374,"8,792",4.3%,,,,,,,,,,,,
District of Columbia,DC,Philadelphia,212,"8,095",2.6%,,,,,,,,,,,,
Florida,FL,Atlanta,"9,029","201,065",4.5%,,,,,,,,,,,,
Georgia,GA,Atlanta,"3,637","107,402",3.4%,,,,,,,,,,,,
Guam,GU,San Francisco,67,860,7.8%,,,,,,,,,,,,
Hawaii,HI,San Francisco,418,"8,221",5.1%,,,,,,,,,,,,
Idaho,ID,Seattle,556,"13,374",4.2%,,,,,,,,,,,,
Illinois,IL,Chicago,"5,501","108,182",5.1%,,,,,,,,,,,,
Indiana,IN,Chicago,"3,001","70,395",4.3%,,,,,,,,,,,,
Iowa,IA,Kansas City,"1,350","23,770",5.7%,,,,,,,,,,,,
Kansas,KS,Kansas City,"1,357","21,941",6.2%,,,,,,,,,,,,
Kentucky,KY,Atlanta,"2,147","66,496",3.2%,,,,,,,,,,,,
Louisiana,LA,Dallas,"2,556","68,769",3.7%,,,,,,,,,,,,
Maine,ME,Boston,584,"14,058",4.2%,,,,,,,,,,,,
Maryland,MD,Philadelphia,"2,012","51,520",3.9%,,,,,,,,,,,,
Massachusetts,MA,Boston,"2,418","57,283",4.2%,,,,,,,,,,,,
Michigan,MI,Chicago,"4,587","115,801",4.0%,,,,,,,,,,,,
Minnesota,MN,Chicago,"2,140","39,381",5.4%,,,,,,,,,,,,
Mississippi5,MS,Atlanta,"1,916","53,020",3.6%,,,,,,,,,,,,
Missouri,MO,Kansas City,"3,165","81,705",3.9%,,,,,,,,,,,,
Montana,MT,Denver,364,"8,200",4.4%,,,,,,,,,,,,
Nebraska,NE,Kansas City,659,"12,641",5.2%,,,,,,,,,,,,
Nevada,NV,San Francisco,"1,001","18,140",5.5%,,,,,,,,,,,,
New Hampshire,NH,Boston,444,"10,236",4.3%,,,,,,,,,,,,
New Jersey,NJ,New York,"3,307","52,053",6.4%,,,,,,,,,,,,
New Mexico,NM,Dallas,888,"21,381",4.2%,,,,,,,,,,,,
New York,NY,New York,"8,589","173,870",4.9%,,,,,,,,,,,,
North Carolina,NC,Atlanta,"4,420","107,053",4.1%,,,,,,,,,,,,
North Dakota,ND,Denver,252,"3,843",6.6%,,,,,,,,,,,,
Ohio,OH,Chicago,"4,904","132,806",3.7%,,,,,,,,,,,,
Oklahoma,OK,Dallas,"1,633","44,787",3.6%,,,,,,,,,,,,
Oregon,OR,Seattle,"1,531","33,616",4.6%,,,,,,,,,,,,
Pennsylvania,PA,Philadelphia,"5,235","129,630",4.0%,,,,,,,,,,,,
Puerto Rico,PR,New York,526,"25,639",2.1%,,,,,,,,,,,,
Rhode Island,RI,Boston,498,"11,202",4.4%,,,,,,,,,,,,
South Carolina,SC,Atlanta,"2,272","51,401",4.4%,,,,,,,,,,,,
South Dakota,SD,Denver,364,"6,015",6.1%,,,,,,,,,,,,
Tennessee,TN,Atlanta,"3,330","84,540",3.9%,,,,,,,,,,,,
Texas,TX,Dallas,"9,336","239,951",3.9%,,,,,,,,,,,,
Utah,UT,Denver,838,"14,220",5.9%,,,,,,,,,,,,
Vermont,VT,Boston,346,"5,479",6.3%,,,,,,,,,,,,
Virgin Islands,VI,New York,22,348,6.3%,,,,,,,,,,,,
Virginia5,VA,Philadelphia,"3,338","65,289",5.1%,,,,,,,,,,,,
Washington,WA,Seattle,"2,478","53,778",4.6%,,,,,,,,,,,,
West Virginia,WV,Philadelphia,"1,008","26,398",3.8%,,,,,,,,,,,,
Wisconsin,WI,Chicago,"2,677","50,474",5.3%,,,,,,,,,,,,
Wyoming,WY,Denver,267,"3,688",7.2%,,,,,,,,,,,,
Federal Sites/Non-State DDS,FD,,350,"9,749",3.6%,,,,,,,,,,,,
National1,,,"128,920","3,035,827",4.2%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
" 1Since the percentage of fast-track cases represent data for the reporting fiscal year 2010, it will not be the same as the percentage of initial disability",,,,,,,,,,,,,,,,,
  claims identified as QDD or CAL in the agency's annual performance plan (APP).  The percentage in the APP is based on data for the reporting ,,,,,,,,,,,,,,,,,
"  month of September 2010 (August 28, 2010 through September 24, 2010).  In September 2010, the QDD and CAL ""fast-track"" processes identified ",,,,,,,,,,,,,,,,,
"  4.6% of electronically filed disability claims for expedited handling, surpassing the APP goal of 4.5%.",,,,,,,,,,,,,,,,,
 2Data reflects initial disability cases received and accepted by the Disability Determination Services (DDS) and Extended Service Teams (ESTs) ,,,,,,,,,,,,,,,,,
"  within the fifty states, Guam, US Virgin Islands, and Federal/Non-State sites.",,,,,,,,,,,,,,,,,
" 3Represents the number of initial disability cases identified as Quick Disability Determinations (QDD), Compassionate Allowances (CAL), or both, ",,,,,,,,,,,,,,,,,
"  that were received and accepted by the DDS, EST, or federal site within the fiscal year. ",,,,,,,,,,,,,,,,,
" 4The number of electronic cases received and accepted by a DDS,EST, or federal site.",,,,,,,,,,,,,,,,,
" 5Data includes cases received by ESTs within the state, assisting with processing the case workloads. ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
                                                   Percentage of Fast-Track Receipts,,,,,,,,,,,,,,,,,
                                                                                For,,,,,,,,,,,,,,,,,
"                     Fiscal Year 2011 (September 25, 2010 through September 30, 2011)1",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
State2,State Abbreviation,Region,Total Fast-Track Receipts3,Total DDS Electronic Receipts4,% FT Receipts,,,,,,,,,,,,
Alabama,AL,Atlanta,"2,876","77,661",3.7%,,,,,,,,,,,,
Alaska,AK,Seattle,461,"5,177",8.9%,,,,,,,,,,,,
Arizona,AZ,San Francisco,"2,466","47,132",5.2%,,,,,,,,,,,,
Arkansas5,AR,Dallas,"1,718","46,837",3.7%,,,,,,,,,,,,
California,CA,San Francisco,"14,392","301,611",4.8%,,,,,,,,,,,,
Colorado,CO,Denver,"2,375","36,245",6.6%,,,,,,,,,,,,
Connecticut,CT,Boston,"1,410","26,850",5.3%,,,,,,,,,,,,
Delaware,DE,Philadelphia,368,"8,716",4.2%,,,,,,,,,,,,
District of Columbia,DC,Philadelphia,298,"8,480",3.5%,,,,,,,,,,,,
Florida,FL,Atlanta,"10,839","211,948",5.1%,,,,,,,,,,,,
Georgia,GA,Atlanta,"3,685","109,396",3.4%,,,,,,,,,,,,
Guam,GU,San Francisco,68,"1,019",6.7%,,,,,,,,,,,,
Hawaii,HI,San Francisco,436,"8,753",5.0%,,,,,,,,,,,,
Idaho,ID,Seattle,631,"13,350",4.7%,,,,,,,,,,,,
Illinois,IL,Chicago,"6,188","108,065",5.7%,,,,,,,,,,,,
Indiana,IN,Chicago,"3,469","72,287",4.8%,,,,,,,,,,,,
Iowa,IA,Kansas City,"1,489","24,320",6.1%,,,,,,,,,,,,
Kansas ,KS,Kansas City,"1,352","18,218",7.4%,,,,,,,,,,,,
Kentucky,KY,Atlanta,"2,359","66,187",3.6%,,,,,,,,,,,,
Louisiana,LA,Dallas,"2,777","70,028",4.0%,,,,,,,,,,,,
Maine,ME,Boston,639,"13,734",4.7%,,,,,,,,,,,,
Maryland,MD,Philadelphia,"2,445","58,644",4.2%,,,,,,,,,,,,
Massachusetts,MA,Boston,"2,776","50,435",5.5%,,,,,,,,,,,,
Michigan,MI,Chicago,"4,976","123,738",4.0%,,,,,,,,,,,,
Minnesota,MN,Chicago,"2,453","38,583",6.4%,,,,,,,,,,,,
Mississippi5,MS,Atlanta,"2,290","53,941",4.2%,,,,,,,,,,,,
Missouri,MO ,Kansas City,"3,818","82,262",4.6%,,,,,,,,,,,,
Montana,MT,Denver,354,"8,353",4.2%,,,,,,,,,,,,
Nebraska,NE,Kansas City,852,"12,647",6.7%,,,,,,,,,,,,
Nevada,NV,San Francisco,"1,255","21,780",5.8%,,,,,,,,,,,,
New Hampshire,NH,Boston,551,"11,123",5.0%,,,,,,,,,,,,
New Jersey,NJ,New York,"4,290","61,967",6.9%,,,,,,,,,,,,
New Mexico,NM,Dallas,939,"21,377",4.4%,,,,,,,,,,,,
New York,NY,New York,"11,138","169,181",6.6%,,,,,,,,,,,,
North Carolina,NC,Atlanta,"5,177","112,563",4.6%,,,,,,,,,,,,
North Dakota,ND,Denver,298,"3,919",7.6%,,,,,,,,,,,,
Ohio,OH,Chicago,"5,066","131,581",3.9%,,,,,,,,,,,,
Oklahoma5,OK,Dallas,"2,119","44,503",4.8%,,,,,,,,,,,,
Oregon,OR,Seattle,"1,861","35,139",5.3%,,,,,,,,,,,,
Pennsylvania,PA,Philadelphia,"6,475","150,096",4.3%,,,,,,,,,,,,
Puerto Rico,PR,New York,558,"30,013",1.9%,,,,,,,,,,,,
Rhode Island,RI,Boston,531,"10,971",4.8%,,,,,,,,,,,,
South Carolina,SC,Atlanta,"2,506","54,087",4.6%,,,,,,,,,,,,
South Dakota,SD,Denver,444,"5,956",7.5%,,,,,,,,,,,,
Tennessee,TN,Atlanta,"3,328","84,960",3.9%,,,,,,,,,,,,
Texas,TX,Dallas,"11,226","247,638",4.5%,,,,,,,,,,,,
Utah,UT,Denver,"1,127","14,852",7.6%,,,,,,,,,,,,
Vermont,VT,Boston,411,"5,709",7.2%,,,,,,,,,,,,
Virgin Islands,VI,New York,13,236,5.5%,,,,,,,,,,,,
Virginia5,VA,Philadelphia,"4,318","75,878",5.7%,,,,,,,,,,,,
Washington,WA,Seattle,"3,004","59,362",5.1%,,,,,,,,,,,,
West Virginia,WV,Philadelphia,"1,030","26,700",3.9%,,,,,,,,,,,,
Wisconsin,WI,Chicago,"3,122","47,595",6.6%,,,,,,,,,,,,
Wyoming,WY,Denver,279,"3,730",7.5%,,,,,,,,,,,,
Federal Sites/Non-State DDS,FD,,77,"4,907",1.6%,,,,,,,,,,,,
National1,,,"151,403","3,140,440",4.8%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
" 1Since the percentage of fast-track cases represent data for the reporting fiscal year 2011, it will not be the same as the percentage of initial disability",,,,,,,,,,,,,,,,,
  claims identified as QDD or CAL in the agency's annual performance plan (APP).  The percentage in the APP is based on data for the reporting ,,,,,,,,,,,,,,,,,
"  month of September 2011 (August 27, 2011 through September 30, 2011).  In September 2011, the QDD and CAL ""fast-track"" processes identified ",,,,,,,,,,,,,,,,,
"  5.9% of electronically filed disability claims for expedited handling, surpassing the APP goal of 5.0%.",,,,,,,,,,,,,,,,,
 2Data reflects initial disability cases received and accepted by the Disability Determination Services (DDS) and Extended Service Teams (ESTs) ,,,,,,,,,,,,,,,,,
"  within the fifty states, Guam, US Virgin Islands, and Federal/Non-State sites.",,,,,,,,,,,,,,,,,
" 3Represents the number of initial disability cases identified as Quick Disability Determinations (QDD), Compassionate Allowances (CAL), or both, ",,,,,,,,,,,,,,,,,
"  that were received and accepted by the DDS, EST, or federal site within the fiscal year. ",,,,,,,,,,,,,,,,,
" 4The number of electronic cases received and accepted by a DDS, EST, or federal site.",,,,,,,,,,,,,,,,,
" 5Data includes cases received by ESTs within the state, assisting with processing the case workloads. ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
                                                            Percentage of Fast-Track Receipts,,,,,,,,,,,,,,,,,
                                                                                         For,,,,,,,,,,,,,,,,,
"                                     Fiscal Year 2012 (October 1, 2011 through September 28, 2012)1",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
State2,State Abbreviation,Region,Total Fast-Track Receipts3,Total DDS Electronic Receipts4,% FT Receipts,,,,,,,,,,,,
Alabama,AL,Atlanta,"3,360","77,834",4.3%,,,,,,,,,,,,
Alaska,AK,Seattle,313,"4,769",6.6%,,,,,,,,,,,,
Arizona,AZ,San Francisco,"3,211","49,427",6.5%,,,,,,,,,,,,
Arkansas5,AR,Dallas,"1,796","47,561",3.8%,,,,,,,,,,,,
California,CA,San Francisco,"16,575","279,408",5.9%,,,,,,,,,,,,
Colorado,CO,Denver,"2,485","35,525",7.0%,,,,,,,,,,,,
Connecticut,CT,Boston,"1,656","26,439",6.3%,,,,,,,,,,,,
Delaware,DE,Philadelphia,537,"8,933",6.0%,,,,,,,,,,,,
District of Columbia,DC,Philadelphia,312,"7,993",3.9%,,,,,,,,,,,,
Florida,FL,Atlanta,"11,827","209,707",5.6%,,,,,,,,,,,,
Georgia,GA,Atlanta,"5,634","104,931",5.4%,,,,,,,,,,,,
Guam,GU,San Francisco,77,993,7.8%,,,,,,,,,,,,
Hawaii,HI,San Francisco,628,"7,735",8.1%,,,,,,,,,,,,
Idaho,ID,Seattle,818,"12,974",6.3%,,,,,,,,,,,,
Illinois,IL,Chicago,"6,796","104,400",6.5%,,,,,,,,,,,,
Indiana,IN,Chicago,"4,360","68,283",6.4%,,,,,,,,,,,,
Iowa,IA,Kansas City,"1,749","22,316",7.8%,,,,,,,,,,,,
Kansas ,KS,Kansas City,"1,089","14,623",7.4%,,,,,,,,,,,,
Kentucky,KY,Atlanta,"2,847","62,991",4.5%,,,,,,,,,,,,
Louisiana,LA,Dallas,"2,706","65,071",4.2%,,,,,,,,,,,,
Maine,ME,Boston,844,"13,844",6.1%,,,,,,,,,,,,
Maryland,MD,Philadelphia,"2,944","57,178",5.1%,,,,,,,,,,,,
Massachusetts,MA,Boston,"3,408","56,268",6.1%,,,,,,,,,,,,
Michigan,MI,Chicago,"6,089","118,282",5.1%,,,,,,,,,,,,
Minnesota,MN,Chicago,"3,064","37,970",8.1%,,,,,,,,,,,,
Mississippi5,MS,Atlanta,"2,053","49,749",4.1%,,,,,,,,,,,,
Missouri,MO ,Kansas City,"4,463","77,367",5.8%,,,,,,,,,,,,
Montana,MT,Denver,457,"7,459",6.1%,,,,,,,,,,,,
Nebraska,NE,Kansas City,"1,043","12,055",8.7%,,,,,,,,,,,,
Nevada,NV,San Francisco,"1,399","20,553",6.8%,,,,,,,,,,,,
New Hampshire,NH,Boston,686,"10,750",6.4%,,,,,,,,,,,,
New Jersey,NJ,New York,"4,721","64,635",7.3%,,,,,,,,,,,,
New Mexico,NM,Dallas,"1,004","19,891",5.0%,,,,,,,,,,,,
New York,NY,New York,"10,452","163,725",6.4%,,,,,,,,,,,,
North Carolina,NC,Atlanta,"6,267","107,901",5.8%,,,,,,,,,,,,
North Dakota,ND,Denver,336,"3,643",9.2%,,,,,,,,,,,,
Ohio,OH,Chicago,"6,866","125,600",5.5%,,,,,,,,,,,,
Oklahoma5,OK,Dallas,"2,212","41,223",5.4%,,,,,,,,,,,,
Oregon,OR,Seattle,"2,069","31,335",6.6%,,,,,,,,,,,,
Pennsylvania,PA,Philadelphia,"7,606","140,658",5.4%,,,,,,,,,,,,
Puerto Rico,PR,New York,595,"23,561",2.5%,,,,,,,,,,,,
Rhode Island,RI,Boston,560,"11,004",5.1%,,,,,,,,,,,,
South Carolina,SC,Atlanta,"3,132","57,291",5.5%,,,,,,,,,,,,
South Dakota,SD,Denver,439,"5,614",7.8%,,,,,,,,,,,,
Tennessee,TN,Atlanta,"4,307","79,820",5.4%,,,,,,,,,,,,
Texas,TX,Dallas,"13,594","232,119",5.9%,,,,,,,,,,,,
Utah,UT,Denver,"1,226","14,057",8.7%,,,,,,,,,,,,
Vermont,VT,Boston,380,"5,229",7.3%,,,,,,,,,,,,
Virgin Islands,VI,New York,29,272,10.7%,,,,,,,,,,,,
Virginia5,VA,Philadelphia,"4,696","65,166",7.2%,,,,,,,,,,,,
Washington,WA,Seattle,"3,279","57,113",5.7%,,,,,,,,,,,,
West Virginia,WV,Philadelphia,"1,263","24,584",5.1%,,,,,,,,,,,,
Wisconsin,WI,Chicago,"3,454","48,459",7.1%,,,,,,,,,,,,
Wyoming,WY,Denver,247,"3,406",7.3%,,,,,,,,,,,,
Federal Sites/Non-State DDS,FD,,96,"3,599",2.7%,,,,,,,,,,,,
National1,,,"174,056","3,003,293",5.8%,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
" 1The percentage of fast-track cases represent data for the reporting fiscal year (FY) 2012.  While not always true, we report the same percentage for FY 2012 ",,,,,,,,,,,,,,,,,
"  as we did for September 2012 in our annual performance plan (APP).    In September 2012, the QDD and CAL ""fast-track"" processes identified ",,,,,,,,,,,,,,,,,
"  5.8% of electronically filed disability claims for expedited handling, surpassing the APP goal of 5.5%.",,,,,,,,,,,,,,,,,
 2Data reflects initial disability cases received and accepted by the Disability Determination Services (DDS) and Extended Service Teams (ESTs) ,,,,,,,,,,,,,,,,,
"  within the fifty states, Guam, US Virgin Islands, and Federal/Non-State sites.",,,,,,,,,,,,,,,,,
" 3Represents the number of initial disability cases identified as Quick Disability Determinations (QDD), Compassionate Allowances (CAL), or both, ",,,,,,,,,,,,,,,,,
"  that were received and accepted by the DDS, EST, or federal site within the fiscal year. ",,,,,,,,,,,,,,,,,
" 4The number of electronic cases received and accepted by a DDS, EST, or federal site.",,,,,,,,,,,,,,,,,
" 5Data includes cases received by ESTs within the state, assisting with processing the case workloads. ",,,,,,,,,,,,,,,,,
